5.0,1. 背景と目的私は、2度転職をしており、働く環境において、多々変わる状況の中で働いていました。転職を繰り返したのは、人間関係に悩んでいた訳ではなく、自動車メーカーで研究をして、研究の成果が完成車に乗り、性能に寄与したいと思ったからです。しかし、人間関係に関わるストレスが知らない内に進行しており、うつ病を患う事になりました。それをきっかけにして、私はどう人間と向き合っていったらいいのか分からず、四六時中人の目を気にしながら、仕事に取り組まざるを得ず、本来の仕事の中身に入って行けなくなってしまいました。そこで、どう人と接していったら良いのかを探索すべく、アドラーの教え、嫌われる勇気を手にする事になりました。2. 4つの気づきすべての悩みは、対人関係の悩みである。しかし、対人関係は幸福を得る手段でもある。他者から嫌われる事を恐れる人が多い。他者からの評価と自分の価値は別物である。他者は自分をどう思うかは、自分にはどうする事も出来ない。だったら、他者がどう思うかについては、思い煩う事はない事を理解する。人は過去と未来に悲観的である。問題が過去の事に原因があるとしたら、過去に戻りたいと考えるが戻れない。従って、今の問題は永遠に解決しない事なってしまう。だから、過去の事を今振り返っても仕方がないという事を理解する。これから何が出来るのかという事だけに注目をする。刹那的に生きる。過去の事に人間は悲観や後悔をする。また、未来について不安になる。ならば、過去の事は過ぎ去っており、未来は来ていないのだから、今日という日を楽しみ、今日という日を今日という日のために使い、丁寧に毎日を日々更新して生きていく事が幸福にがっていく事を理解する。④劣等感劣等感は、自分の悪い所を見つけて、今よりも優れた人間になる事を思うために必要な概念である。それをバネする事により、今よりも優れた状態を手出来る健全な考え方である。従って、その日の内に何をしたらいいか見えてくる。逃げられないから、それが自分の幸福にがっていく。また、他者は仲間であり、それ故、他者に貢献感及び承認欲求を求め、幸福を得ようする。ただし、他者との競争関係を意識すると不健全な考えになってしまう。3. 所見一言で言うならば、過去の愚問に捉われず、今を生きる事で、人は今からでも幸福になれる。過去と他者は、決して変える事は出来ません。ならば自分が
5.0,来年還暦、自称自由人です。心穏やかに過ごせるようになっても嫌われたくないという思いが私を苦しめていました。どんな欲よりも手放しづらい欲求です。嫌われたくないという思いは。私自身の人生を振り返り、20代だったら、受け入れがたい内容だったと思います。30代後半で、実践してみようと思ったかもしれません。今年になるまで、アドラーをまったく知りませんでした。少し前に同年代の友人に久しぶりに会い、嫌われたくないという欲望が一番手ごわいと話したら驚かれました。自由に生きる私らしからぬ発言だと思われたようです。過去は現在で変わります。変わるというか、過去はどうでもよくなりました。自分を愛せなかったこと（受容できなかったこと）で、30代半ばに身体の不調が色々現れ、その後、人生を大きく転換させました。自分を変えることの困難さ、苦しさを実感しました。いま、ここに、精一杯生きる。それさえできれば、すべては変わると思いますが、実践はたやすくはありません。私が40代、50代でやってきたことが本書には色々書かれていました。それが正解かどうかはわかりませんが、自由かつ穏やかに生きられるようになった私にとっての真実です。
5.0,他の方が丁寧なレビューなどをされていらっしゃることだと思います。この本は何度も何度も読み返したい。心理学の本というより自己啓発的な本だけど、カテゴリーなんてのはどうでもいいと思う。問題は、僕がこの本の内容を忘れずに、生きて行けるかというところ。多分無理。いまはたしかに響いているし、残響がある。でもきっと明日の朝には…。だから、意識しないといけない。常に机上に置いておこう。続編があるとのことで、今度早速買おうと思う。
5.0,この本に出てくる青年ほどではありませんが、私も人の目気にしながら生きている方なのではないかと思いますし、実際そういう方は多いのではないかと思います。そういった点から思い当たる節が多々あったので非常に参考になりました。特に最後の過去や未来ばかり囚われずに今を一生懸命生きなさいということは私に足りないところでした。ただ少し思うのは、私はたまたまそういう人生を歩んできたからこのように感じたのですが、そうでない人にはあまり響かないのではないかなと思います。逆に私のように人の目を気にし、また将来のことばかり気にしている人には読むことを強くお勧めします！
4.0,買ってもしばらく、読めませんでした。甘い時代に生きてきたから仕方ないですね。これからが私の人生です。
1.0,自分の生い立ちに未だ悩まされている30代です。社会に出るまではいわゆる良い子でした。親の顔色を伺いながら、自分を殺し、否定し、生きてきました。子どもの頃に子どもらしく生きることが出来ませんでした。学生時代まではそれで通用してきたのですが、社会人になる段階でつまづき、以来社会の波に乗れず、転職を繰り返しています。病院に行くほどではないと自分では思ってはいますが、日々強烈な生きづらさを感じています。そろそろ本気で変わりたい。変われるかもしれないと、救いを求める気持ちからこの本を手に取りました。しかし……3分の1ほどを読んだところで、物凄く辛い気持ちになっていることに気が付きました。なんていうか、階段の上から突き飛ばされて、骨が折れて痛いのに、「その痛みは自分で選びとっているのだ」「突き飛ばされたのも自分で選んだことなのだ」と言われているような……。もしかしたらその先に救われる内容が書いてあるのかも知れません。でも、私は読み進めることが出来ませんでした。トラウマなどない……それが事実なら、どんなに良いでしょう。それなら、PTSDに苦しむ人などいなくなりますよね。これは心理学の本ではなく、ただの自己啓発書だと思います。心の土台が健やかな人が、更に自分を高めるための本。本格的に心が疲れている人が読むと、余計辛くなります。
5.0,何度も読み返したいと、思いました名著です　ありがとうございます
2.0,私も2年前ぐらいに読みましたが、過去のトラウマの否定や、今の状況は自分が作り出しているなど、過去のことで苦しんでいる人が読むには、正直、酷な内容だと思います。もし、これを読んで救われて心の病が治ったら苦労しないって話です。あと勘違いする方もいたのですが、嫌われる勇気＝自己中に振る舞う、というアホな思考と行動をする人がいましたので、本書でも書かれていますが、嫌われる行動は、何も自己中にしろとは書かれていません。以前、私の職場でも50代ぐらいの男性管理者がこれを読んで、無理難題な企画を推し進めたり、他の人の配慮も考えず、言いたい放題言ったり、攻撃的になり批判や、苦しんでいる人を小ばかにして追い詰めるなど、これが俺のやり方（生き方）じゃー、というアホがいました。過去のことで、苦しんでいる方、元々、人のことなど、どうでもいい無神経な方は読まないほうがいいかもしれません。余計に酷くなる可能性もあるので。参考程度に考えるなら軽く読んでもいいですが、、。私の考え方ですが、過去のトラウマ、心の病を抱えている人は、無理をしないで、悪い環境（住まい、人間関係など）環境を変えるなり、不幸な記憶を幸せの記憶を多くして、上書きしたり、、自分のありのままでいいから、少しづつ良くなるという意識を持って行動すれば、自分にどんどん自信ができ、できないこともできるようになっていくと思います。たいした内容ではありませんが、自分が幸せになるためには究極の方法だと思います。
4.0,ああ言えばこう言うみたいな展開でしたが。若い方が会社などでの人間関係の割り切りに使うととても良いと感じました。確かに身も心も軽くなったように感じます。
5.0,テレビドラマを見て興味を持ち、本書を購入しました。本書はアドラー哲学を理解する哲人と、それに対抗意識を持つ青年の会話を通して、アドラー哲学の内容を説明する形になっています。私は本書の内容に非常に共感できました。しかし、理解できない人にはまったく理解できない考え方だと思います。「自分は周りのために頑張っているのに、周りはぜんぜん認めてくれない」といつもぼやいている人ほど本書の内容は役に立つと思いますが、本書を読んで生き方を変えられれば人生が180°変わっていくでしょう。さて、本書を読んで私が特に共感した、実践してみようと思うのは以下です、・課題の分離自分の課題と他人の課題を切り分けて、他人の課題には踏み込まない。「他人が自分をどう思うか」などは他人の課題です。会社でも「あの人は評価されているのに私は・・・」なんて人がいますが、課題の分離を実践して自分のことに集中すればよいのに、と思いますね。・人生は自分の考え方で変えていけるうまくいかないことも多くありますが、結局人生がよいか悪いかは自分の判断。過去にとらわれて後ろ向きなことばかりを考えていても人生はよくならないので、どうせなら前向きに生きた方が得。・見返りを求めない他者への貢献が自己肯定を生む誰しも自分の価値を認められたいと思います。しかし他社からの承認を求める人生は苦しい。自分で自分を認めるためには、他者からの見返りがなくても他者へ貢献することが大切。
